,message
478,"<s>[INST] Edward Hansen

Location: Grimbold's cabin
Interacting with: N/A
""Edward Hansen, Emily O'Reilly"" Eddie's face turned beet red at the mention of his college crush's name after his own. He had to figure out a way to keep her at her house on Saturday? This mission might be difficult. Maybe Robert can give me an idea? He's good at that. Or maybe I could ask Cara or Sky for advice. They're girls, they'll probably know what would keep them in on a Saturday. Oh well, at least we have almost a week.
Eddie couldn't help but smile though, at the mention of learning something from Grimbold. The curiosity was almost overwhelming, and Grimbold was such a mysterious old man. We'll know soon enough.
Eddie's thoughts continued to race as he went outside, to ""his spot"", around the corner from the door. He moved autonomously, as his mind was busy. Although everyone had seen pretty much everyone naked, he still didn't want undress in front of anyone if there [/INST] was no need or urgency. He also couldn't just transform and walk out of the clothes, like some of the others. A disadvantage of picking a larger animal. He had tried once, but his shirt and underwear were especially impossible to remove as a dog, and even more awkward when he changed back. He moved a flat rock he kept for just such an occasion, leaned against the cabin over another rock. His clothes should be safe there.
Before long he ventured back around the corner, and sat at the door, transformed into a dog. Eddie had always had a deep love for dogs, but never had the chance to keep one. And so when he met with Grimbold the first time, he knew immediately what form he wanted. A German Shepherd, like one he used to see at the pet store as a child.
As Eddie thought about his first meeting with Grimbold, his tail began to wag absentmindedly. When he remembered that they were going to get a new lesson from Grimbold, it doubled it's pace. </s>"
479,"<s>[INST] Angel Hardwicke

Location; Grimbold's Cabin
Interacting With; N/A 
By the time Nick had entered with his friend - at the sight of the fluffy rabbit, naturally Angel's mind went into hyperdrive over how gosh darn cute it was - she and most of the others had finished up their meal. As Grimbold began talking, she finished off the rest of her cake, listening carefully.
On her first meeting last month, naturally she'd been skittish. Angel only turned the once before that meeting, and was so damned nervous changing with the others. The Shrine was a bit disconcerting too, but she just told herself to think about the shrines in Skyrim. They were totally normal in the Elder Scrolls Universe! I mean, they usually had necromancers and shit nearby too, but whatever... magic is magic.
This second time was a lot easier - not only did she know more of what to do, but she was more at home with the others. Friends with most of them at that - as Grimbold had mentioned, they looked after her pretty well.
However, last time, she hadn't been told to use her powers on another human - this human happened to be one Garrett Russell. She knew who he was - his older brother, Miguel, sat next to her in most of her Psychology lectures, and the pair were even friends. From her short time in Tallshade, she'd quickly found out Garrett had quite the reputation for himself; the 17 year old, still being in High School, was a notorious party goer and stereotypical jock. The few times she'd visited the Garrett house, either for parties or study sessions, Garrett had flirted quite nonchalantly with her, much to his brother's ire. What he lacked severely in brains the kid made up for in looks, height and muscle, so any arguments with his distinctly smaller and nerdier older brother didn't last very long.
Safe to [/INST] say Angel wasn't too impressed by him, despite his efforts.
As for her job on keeping him indoors... that would be a tricky one. Being an ardent party goer and social butterfly, it was highly likely he'd be doing something Saturday night. Was there a High School football game on? He was on the team... hmm. It would either be that or some party. A guy like Garrett didn't stay in on the weekend.
Deciding to think on it later - and perhaps getting some help from a more experienced member of the group - Angel stood up with the others as Grimbold announced their plans for the night: Shrine Time with the Animal Fun-Time group. Huzzah.
Following Skye's departure from the back room - in the form of a gorgeous black owl - Angel entered, stripping her clothes quickly in case somebody else wanted some privacy. Underneath her fairly dark rock attire, Angel chuckled as she looked at her very not-rock underwear: White briefs and bra with multi-coloured paw prints all over them. Nice.
Taking them off too and folding them with the rest of her clothes, Angel shivered as she began to change. Suddenly, her head was elongating into a snout; teeth and nails elongating and sharpening into claws and fangs; and ebony fur sprouting all over her body. Eyes now taking on a pale golden glow, Angel looked down at her paws.
""Woo! Change successful! Now to try and walk straight and avoid eating dirt..."" She thought to herself, then carefully walking to the door, scraping at it until it swung open. Barking lightly as she saw the others, Angel picked up her pace, trotting in a somewhat straight line outside.
Rather than going straight to the Shrine, she sat outdoors, gazing at the moon while she waited for Cara... who could potentially want a lift in her snake form.
""Girl better not choke me this time..."" </s>"
480,"<s>[INST] Sloane Shields

Location: Grimbold's cabin
Interacting with Sky, Nick, Grimbold, others

""Shit, I don't know how you deal with that,"" Sloane had sympathized to Sky, scowling a bit. The young woman was so reserved and quiet; Sloane couldn't imagine her handling something willing to bring the building down to avoid treatment. Even though she cared for Sky, she still wasn't the type to worry, and she offered a helpless shrug. The worst she had to deal with were cheapskates and drunk frat boys that can't sit still, and she said as much as Nick was coming. ""We'll tell you when you're older,"" she had teased, throwing a wink in his direction. It was soon after that she finished her soup and Grimbold spoke up.
At the mention of their newest member, Sloane had glanced over at Angel; new, but he was right, fitting right into the ba [/INST] nter and atmosphere. She even offered a smile in agreement (though it was quickly gone). Then the mentor got down to business: Sloane didn't recognize the name. So not a local, she thought, green eyes narrowing as her next thoughts jumped to the university. And the artist was just fine with leaving her Saturday open; she enjoyed quiet nights at home, especially after being gone all week. Once Grimbold was done speaking, she popped another pastry into her mouth as she stood up.
She disappeared into another room, her shirt coming up and over head before she pushed the door almost closed (hooves couldn't open a door very well after all). Then a moment later, the doe emerged from the bathroom and Sloane's clothes were left behind. The deer was silent, watching the others with big dark eyes, before slowly trotting to the exit. </s>"
481,"<s>[INST] Cara Osborne

Location; Grimbold's cabin
Interacting With; N/A
A heavy sigh escaped Cara's lips, dropping her spoon beside the bowl she was once having soup from. It wasn't that she didn't enjoy changing into a snake and hanging out with the group of misfits in their animal form, it's just the fact that it had been a year since she had gotten her powers yet she still couldn't adjust to the no-limb situation. Cara eyed Angel as she entered the room to change into her coyote form. At least the newbie was lucky enough to have four legs instead of none. She waited for Angel to leave the room, deciding to take the moment to think about who her target was.
Janet Garrison. The name sounded familiar, like a prickling at the back of her mind, but she wasn't very sure where she heard it. Cara mentally flicked through a list of people from her class, crossing out each name and face as she tried narrowing down on the familar Miss Garrison.
'Ah, now I remember...'
Janet was one of the many girls hidden away at the back of the lecture hall, the shy and quiet type. Possibly smart too, Cara guessed. She didn't know much about the shy classmate, other than her age - twenty one - and which dorm she lived in. It was possible for Cara to use her usual scare tactics on the girl, maybe amped up a bit just to ensure she wouldn't leave her room on Saturday. Of course, Cara didn't want to completely traumatise the girl, but there was nothing she could do about it. A job was a job.
Cara got up slowly as she saw Sloane coming from the direction of the room, taking it as her cue to get ready. Leaving the door partially open behind her, Cara immediately started on he [/INST] r clothes. One by one, articles of clothing would drop to the ground, before a naked Cara would pick it back up and make sure to fold them carefully, the coldness of the room raising goosebumps on her bare flesh. She was always peculiar about her clothes, wanting everything to be pristine and perfect.
You could even say she was a bit of a control freak when it came to looking her best.
Not that she would ever admit it out loud.
Next, Cara readied herself for her change, sitting down with her legs pressed together and her arms against her sides. It was much easier and less painful for her to do so, as the scales slowly enveloped her skin and merged her limbs to her body. Cara's height shrunk even further and her eyes changing from the brown hue to an obsidian black, her eyelids disappearing completely until she finally took on the appearance of a Mexican Black Kingsnake.
Now was the hard part. Cara had left just enough of a gap for her to slither past, but she had to make sure she wouldn't make a fool out of herself by getting tangled into her own body while doing so. Slowly, but surely, Cara slid across the ground and towards the others, letting them know the room was empty before leaving through the front door, finding Angel waiting outside.
Cara would've smiled if she could, but she simply hissed letting the coyote know of her presence before she climbed - for the lack of a better word - up Angel's body and looped herself around her neck, securing herself to the coyote's body. It was a bit of a dangerous move, but Cara would try not to strangle the newbie. Well, as long as she didn't trip over her paws and send Cara flying into the air. </s>"
482,"<s>[INST] Tobias Rieper

Location: Grimbold's Cabin
Interacting With:N/A

Finally, Grimbold spoke up, telling them of the task he had for them. They were to keep someone inside their house next Saturday, either physically or mentally. And something about a call, perhaps Grimbold would check on them that evening. Tobias frowned as he wondered how he would keep his target inside his house. His power was predicative in nature, unlike most of the group, who had something that was more active in nature. His target didn't really help matters either, it was his landlord of all people. Tobias doubted his animal form, the raccoon could do much with the task Grimbold assigned him.
Tobias was sure he'd have to do something physical to keep his landlord inside. Hopefully it wouldn't have to come to something dras [/INST] tic, but he had a week to figure it out. In the meantime, he should probably change into his animal. ""I always hated this part...""  The transformation wasn't painful, but it felt strange. Yes, Tobias had changed before, but it never became normal to him. The whole losing all your clothes thing was very inconvenient, but he supposed even magic had it's limits.
Now a raccoon, Tobias slowly backed out of what was his shirt. He'd learned from his first few attempts that moving forward just usually led to his head getting stuck on his shirt, and Tobias would be running around with it stuck until he transformed back. Not like it obscured his vision, but it would ruin his t-shirt and people's attention would be drawn to him. Tobias then began his way to the shrine, not wishing to waste anymore time. </s>"
483,"<s>[INST] Slightly uphill, a silhouette appeared in front of the big full moon that shone behind it.
A wolf, with thick grey fur, was waiting for the other animals to follow him. Once they were all together, he led them up the mountain, over a hidden path, through the forest.
The Shrine was waiting for them. A circle of large hewn stones, with a stone that could resemble an altar in the middle. At the side of the circle, there were some other stone structures, leaning against the mountainside. Altogether it could remind one of an ancient druidic build. A small sister of stonehenge perhaps. But much less known ofcourse. It was highly likely nobody else but Grimbold and the critter family knew about this place.
The wolf made a circling movement with his head, indicating the others to form a circle within the circle of stones.
On the ground around the altar, some lines and circles had been drawn in the earth. Other lines were made up of different kinds of powders. One black, white, oker.
As the wolf slowly walked towards the altar, he started changing. The fur transformed into a grey cloak. Once Grimbold arrived at the center of the circle, he was completely in human form again.
On the altar, a swan had been waiting. Not making a sound, not startled by all the movements around her. She just lay there, seeming to be at total peace, while she looked around at the other critters.
Grimbold wasn't happy with what he was about to do. It wasn't the first time, and it wouldn't be the last. But he did what he had to do. And his pupils needed to learn, because they had a long road ahead of them. While he was getting old.
He took his dagger out and held it up with both hands, blade pointing downwards at the swan.
""Opako senar, hambra manu, se [/INST] pa kharta latangra ghudul""
With one swift strike, Grimbold brought the blade down. It struck the swan on her back, right between her wings. Only faintly, you could hear the swan gasping for air one last time, before she lost strength in her neck, and her head fell onto the altar.
An eerie silence struck the forest for a few seconds. No birds, no insects. No sounds. Nothing.
Then vaguely, a black smoke started coming from the swan. As if the entire beasts body was evaporating. The feathers melted into a heavy black smoke that was almost liquid. And eventually, the entire swan dissapeared. Thick black smoke rolled over the side of the altar and onto the ground, from where the swan had just dissapeard. The smoke spread across the forest floor, before slowly evaporating into nothingness. On the altar only the skeleton of the swan remained.
Grimbold muttered some more words in an unknown language, as if he was paying his respect to the dead creature's body. Then he started collecting the bones in a bag, leaving the skull for last.
He looked around the circle.
“That was all for today”
He nodded in the direction of the cabin, the sign to head back.

After that Grimbold had changed into wolf from once again, and they all went back to the cabin. He didn't care to explain what just had happened, or even why it had. Once people had dressed themselves again, they started leaving. Heading home probably. Grimbold stood at the door, the same he had when they had entered. He greeted everyone, and watched them leave.

The next day, the sun rose above the horizon, meeting a cloudless blue sky. This time of the year, morning did allow the sun to shine her light on tallshade for a few hours, before the sun dissapeared behind the mountain. </s>"
484,"<s>[INST] Robert Taylor

Location; Home -> Library
Interacting With; Texting Eddie 
""..ate now to say sorry? -sorry. Cause I'm missing more then just your bo.. SLAM!
Robert smacked his radio alarmclock. Though he had initially thought that waking up to music was better than to wake up to an annoying and repetetive beeping, he was starting to have some doubts. While rubbing the sleep out of his face, he walked to the kitchen in his underwear to make himself some oatmeal. While the water was boiling, he looked in the mirror. A leaf was still stuck in his messy hair. With his fingers he combed his hair a bit, so that he would at least look good enough to go to work today. Not that he was planning to put much more effort into that. Well, getting dressed perhaps.
fifteen minutes later, Robert was walking towards the library, enjoying the only sunlight that would be touching his skin today. This sure was a good town for lightsensitive gingers. Though the work was not [/INST] going to be very interesting, there was an interesting adventure waiting for him in the form of Grimbolds mission. In the form of Rachel Brooks, the girl that was going to have a bad time this week. It was the first time that Robert felt somewhat hesitant about Grimbold's orders. He would do it ofcourse. But she seemed so innocent. The sigh he let out, was visible as a small cloud that escaped his mouth, due to the cold.
Rob took his smartphone out of his pocket.
To: Eddard
From: Rob
Yo Eddie, any plans with your girl yet? You should definitely ask her out. You could keep her busy on saturday;) Except that you'll probably have to leave for that other thing though.
After hitting send, Robert looked up again to see where he was going. Just in time to evade a lamp post. That would've been ironic.
When he reached his destination, he saw his boss just opening the door. ""Morning Martha""
He was totally ready for another extremely uneventful day. Yay, my life. </s>"
485,"<s>[INST] Daniel Reyes

Location: Home > Castle Street Cafe
Interacting With: Brian Cobald (manager)
Daniel woke up with a groan. He didn't sleep much last night and the sleep he did manage to get was restless. Sitting up in bed, he glanced over at the clock on his bedside table. The bright green numbers that read 7:34am seemed to glare at him in the darkness of the room. Seeing as he probably wasn't going to get anymore sleep today, Daniel forced himself out of bed and started his usual morning routine. Thinking back on the night before was useless as it didn't make much sense to him then so why would it now? Grimbold had told them they would be learning something new at the Shrine but Daniel had yet to figure out exactly what that was. After he had dressed and cleaned himself up, he made his way to the kitchenette and prepared himself a bagel with cream cheese. Glancing at the clock again told him it was now 8:02am. He didn't have to be at work until 9 today but figured he could show up a little early. He had nothing better to do anyway. Maybe he could catch his manager before everyone else showed up for their shift. He did have a mission after all. Grabbing his jacket, Daniel headed out the door, deciding to finish his bagel on the go.
As he reached the Castle Street Cafe, a smile broke out as Daniel noticed that Brian was indeed already there. For a brief moment, a thought passed through Daniel's mind that he shouldn't be as happy a [/INST] s he was that his manager was going to be the target of his powers. Grimbold was sure to have a greater purpose for this mission than just some petty revenge but Daniel quickly dismissed the thought. He could at least have some fun, right? The little bell above the door signaling his arrival, Daniel walked to the employee break room to put his jacket in his locker and grab his apron before returning to the front. He found Brian near the register looking over the inventory checklist from last night. Looking up as he noticed Daniel's presence, Brian gave him a quick glance before returning his attention to the clipboard in his hand. It was brief but it was all the time Daniel needed to notice the discoloration around Brian's left eye. Releasing a low whistle, Daniel made himself give off the impression of concern. ""That's some shiner you got there, Brian. Rough night?"" Grabbing his head, Brian winced and grunted out, ""Yeah, some jackwagon decided he had something to prove after drinking too much. And to top it off, I now have this damn headache..."" Concealing his enjoyment of the situation, Daniel merely replied with, ""Too bad. Next time maybe you should help with inventory instead of partying with 'jackwagons'."" Brian's eyes widened slightly as he realized he had been caught in his lie but Daniel pretended he hadn't noticed as he turned around to busy himself with the display cases as the first few customers started to walk in. </s>"
486,"<s>[INST] Teryn Ikeda

Location; University -> Castle Street Cafe
Interacting With; Daniel Reyes 
""Last night was strange, at least, stranger than usual,"" Terry thought to herself as she walked to school. She had never seen Grimbold do anything like it and wondered why they all had to be there to watch. He said that they were ""learning"" something, but he didn't even bother to explain what that something was. It had to be some sort of ritual, that much was obvious, but the purpose of the ritual remained unclear.
Teryn had walked all the way to school only to find out that her teacher had cancelled class. She was somewhat annoyed that she woke up early just to attend this morning class, but at the same time, she enjoyed having the day off. ""Hm... so what do I do now?"" she wondered as she sat on the bench outside her locked classroom. ""Ah... I know.""
She got up, grabbed her stuff, then made her way to the infamous Castle Street Cafe. Students loved to come here to drink coffee, study, and hang out. But unlike them, she had a different reason for going though: She was going to ask for a certain bat boy's help.
She didn't like asking for help, that was for sure. [/INST] But it was kind of hard to keep a person indoors all day with only breezes. Daniel had the powers to give people headaches, which combined with her breezes might be able to keep her target inside. She thought about turning back and maybe going to the library instead to work on her report. She didn't want to owe anybody anything. But soon enough she was already outside the door of the cafe.
Terry internally groaned as she saw that there was already a line at the cafe. She fidgeted with her bag,made sure to not make eye contact with any of the other customers, and shuffled up the line whenever it was possible. A few stiff moments later, she found herself in front of the line at last. ""I'd like a small chai latte please,"" she said to the man taking her order. She paid what she felt was overpriced for a small cup of latte, but that was capitalism. ""Teryn,"" she answered when he asked for her name.
While she waited for her drink to be ready, she scanned the room for Daniel, only to find him by the display cases. ""Good morning, Daniel,"" she approached the young man, who might have been too busy working to have noticed her right away. ""When is your break?"" </s>"
487,"<s>[INST] Sloane Shields

Location: Ink Shields
Interacting with frat boy no. 1

Death. Sloane had practically grown up with it, looming over her and stealing from her, a constant reminder that her life would one day end. And although she had remained still as a deer, watching Grimbold take the life of the swan stirred a familiar fear within her and her little doe heart had quickly and loudly thumped against her ribcage. She had been with the Mentor for years and she had never seen a display like that, and the unfamiliarity only added to her anxiety. Needless to say, the walk back to the cabin was a somber one. Sloane had followed the little pack back to the cabin, gaze forward and hooves steady.
Once they had returned and dressed, Sloane remained quiet. It wasn't uncommon for her, but everyone had shared the heavy atmosphere before leaving one by one. And, she wasn't one to drink much at all, but that night Sloane had stopped at a bar. The young woman had went home with a stranger--some grad student with clear brown eyes--only to rush home the next the morning. She had clients (and a h [/INST] angover) to attend to, after all.
And that's where her day really began, but she found herself being distracted even as she worked. She sipped tea between clients, and they were few and far between. Sloane got about as much business as you'd expect in a small town, but she got by. ""It's done,"" she said, leaning away from her client and standing to her full height. Her open-toed, 4"" heels weren't exactly business standard, but who were they going to tell? The owner?
After checking out his new, sick ink in one of the mirrors, the frat boy excitedly bounced up to Sloane's counter to pay off the hard work. ""Thanks, it looks great!"" he said simply before skipping out the door, a couple business cards in his saggy pockets.
The rest of her day would be a slow one, and her shoulders sank as she thought--she didn't want to think. Even as she sipped her tea, brewed specifically to help her relax, she grew tense. So, after double checking her appointment book, Sloane closed up shop for the day, bundled up, and stepped outside to do something. Maybe make up for missing her morning workout. </s>"
488,"<s>[INST] Skylar Montgomery


Location: Tallshade Rehab Clinic
Interacting With: Patients

Little talons digging into the ground Sky watched as Grimbold killed the swan. It was almost serial. This was supposed to be some kind of lesson? It could be that it was something about death and how life is precious, but even then, it was a gruesome way to teach it. Honestly she didn't know how to react to it. Sky knew these lessons were for a lesson, she's been with Grimbold and the others for years now. It just wasn't something she was expecting that night.
""Sir you have to calm down please. Everything is alright, nothing you're seeing is real. You're in a safe place."" Sky said softly to a young man that was suffering from the after effects of a cocaine addiction. He was hallucinating right now and there wasn't really much she could currently do.
There was a wall blocking her from Interacting with him as his case of hallucination [/INST] s tended to be violent. He tried to choke one of the nurses when he came in yesterday. As her job here was to be a counselor she wasn't aloud to interact with any kind of medication. She's learned though that certain words can benefit someone. The power she held could sometimes help, not that she liked using it.
""Sky I think we're going to have to wait a while more until the hallucinations stop. It's probably best if you talk to other patients for now."" A nurse told her and Sky nodded walking back to her office in defeat.
Sitting down in her desk chair she sighed exhuasted. The only thing about this job is that she could always be called in. It just happened her work day started at 4am when she'd gotten home at 2am. At this rate she'd be cut soon and get to go home for the day.
The clinic wasn't the biggest but with the college around here it was good for it to be here. She was one of four counselors at this one. </s>"
489,"<s>[INST] Angel Hardwicke

Location; Home ~ Café
Interacting With; Nate Hardwicke 
Fair to say, Angel's first experience with the ""lesson"" Grimbold had arranged for the group, wasn't a particularly pleasant one. Before this, she hadn't really considered the potential darkness she was messing with. Sure, a cool little power and shape-shifting seemed like awesome tricks, that weren't large or powerful enough to be something as anxiety-inducing and world-shaking as something like Magneto's powers in X-Men. Because of this, Angel had never figured there'd be a price - unless it was the small tasks that Grimbold asked of them. Like her first task, an innocent - and hella ironic - Pentagram on a church. Then it was ruin someone's weekend, and considering her target, would be simply dealing out some wicked bad karma on the guy.
But sacrificing something as pure and innocent as a swan?
Shit, Angel was hardly the first in line to sign up for PETA - she loved her meat too much. Damn, if somebody offered her a swan steak she'd try it. But what Grimbold did was just disturbing... along with what occurred afterwards.
Chills had gone down her back, as she and the others sat and watched in their animal forms. Suddenly, being a Coyote didn't feel so cool. It felt even less cool as this black stuff began emanating from the swan's lifeless body. A whine pitched in her throat almost subconsciously, thinking back to the Game of Thrones jokes she and Cara had been throwing around earlier.
""Didn't realize Grimbold had contacts with Melisandre and the shadow-baby army."" She thought to herself weakly - trying to grasp at some form of humour to relax the situation. But alas, she could not share this quip, and she simply watched on uncomfortably until Grimbold dismissed them.
Fair to say, she'd found it hard to find sleep immediately that night - nothing a few drops of rum didn't cure, but still - she didn't like the fact that something their supposed Mentor had done was giving her second thoughts about sleeping.

""Nate, so help me GOD, if you don't turn off that music I'll burn your goddamn dick off in your sleep."" Was Angel's second sentence of the morning. The first had been a similar threat, unheard by Nate, followed by a large string of muttered expletives.
What had brought on this particular threat to her charming younger brother, had been Daft Punk. Robot Rock, to be specific. Now, Angel didn't have a problem with Daft Punk - enjoyed them, in fact.
But not at 7AM, using the sounds system cranked high.
On her one weekday without [/INST] class.
Not even bothering to get out of her bed, Angel had simply phoned her brother, and hung up once the threat was carried across. The music stopped.
Sadly, Angel's ire had been tickled enough to keep her awake, and she came to the unfortunate conclusion that her full bladder and empty stomach had now overtaken rule in her body, making sleep impossible at this point.
Waiting for her Gremlin of a brother to leave for High School, Angel commandeered the bathroom, putting on her own playlist as she showered. The soothing yet upbeat tunes of Clean Bandit were more than enough to relax her, paired with the warm water pounding away on her shoulders, and her orange scented shampoo and body wash. Angel was surprised to find herself so grimy - it's not like she had been rolling around in the dirt last night.
""Well... unless you count the falling over on the way back to the cabin."" Chuckling to herself at the memory, she was relieved to find that the recollection of last night wasn't as haunting as she had thought before going to sleep. Still freaked out slightly by the whole ""chanting and sacrificing"" stunt Grimbold had pulled, but in the light of day, it seemed less disturbing.
It didn't take long for Angel to dry her hair and get dressed - and then feel somewhat bored. It seemed the right side of her brain was still snoozing away upstairs in her bedroom, as she felt no desire to draw or bust out some tunes on her guitar.
Which left food. And what better food could one ingest than bacon?
""Of course... no pig. Nice one, Uncle James."" Pulling a face and turning away from the sadly swine-deprived fridge, Angel noticed her brother's wallet on the dining table, along with his half-empty cereal bowl.
""Jesus Nate; what am I, your housekeeper?"" She muttered with a scowl, dumping his slowly congealing flakes in the bin before looking back at his wallet - which he had forgotten. Again.
Picking it up, a wicked smile appeared on Angel's face as she pulled out $20. ""Ah, sweet, sweet revenge. Boy should know that I have a fee for cleaning up his shit."" Chuckling to herself as she stuffed the bill in her pocket, Angel grabbed her keys as she headed for the door. Little brother was treating her to breakfast at the cafe...

Upon arriving, Angel had taken up her favourite seat after ordering a bacon sandwich and chocolate milkshake from the counter - a little booth tucked away in the corner. Now, one could consider combining milk, chocolate and bacon to be an abomination, but for her, it was a perfectly balanced breakfast. </s>"
490,"<s>[INST] Cara Osborne

Location; University
Interacting With; Her target and Sloane via text 
The Shrine reminded Cara of Stonehenge back home. The careful placement of the boulders in an almost perfect circle around the alter still awed Cara, even if she had seen the exact same rocks almost twelve times within the year she'd met the critters. She carefully untangled her body away from Angel's neck, sliding down her body towards the ground.
And boy was she glad that she wasn't still hanging off the newbie's neck. If Grimbold's chanting wasn't creepy enough, he was holding a dagger in the direction of the swan, who was still laying by the alter helplessly. The sudden strike from Grimbold's dagger would've caused Cara to constrict around Angel's neck instinctively, but instead it looked like she was almost curling into her body as her black pupils stared at the scene ahead.
""---ne?""
This whole situation reminded Cara of a cult sacrifice - one you see in many weird films and horror flicks. It was definitely a first, to see Grimbold killing a woodland critter and watching black smoke ooze from the body like blood from a wound.
""---sborne?""
What was even weirder was that Grimbold dismissed everybody straight after; leading them back to his cabin to allow the others, including Cara, to return back to their home. Cara didn't have the heart to say anything as she ducked out of the cabin after changing. She just gave a small nod in the direction of the elder man, her mind still processing the previous events carefully.
""Miss Osborne!""
The voice came from right beside Cara, the girl almost jolting out of her skin in response. She turned to the right, eyes widened and heart racing as her Professor stared at her with a disappointed look on his face. ""S-sorry 'bout that."" Cara apologised, looking away to stare down at her empty page that was supposed to be filled with notes. 'Crap, that's an hour wasted. Good job, Cara.'
The Professor turned to the front of the hall once more, returning to his teachings of the nervous system as Cara mentally berated herself. As he answered more questions, Cara realised tha [/INST] t she was given a golden opportunity. Discreetly turning her head to the left, as if she were tilting her head to stare at the wall, she peered over her shoulder at the blonde head behind her, working hard like a good student. Cara could use the opportunity to talk to her target, get to know her enough to be able to figure out what scared the girl and use it against her.
Maybe things weren't too bad after all.

With the seminar over with, Cara immediately jumped out of her seat, spotting Janet already packing up hurriedly. Cara couldn't help but notice how shaky and jittery the girl was, storing the information in her mind as her mouth curled into the familiar sweet smile. Cara approached the blonde, eyes sparkling and a charming grin on her face as she clutched her notepad against her body. 'Gotta lay it on thick.'
""Hi~!"" She greeted in a sing-song voice. Cara's mouth twitched as Janet didn't even bother to look up at her, instead busy with shoving her pen in her already filled pencil case. ""I guess you already know why I'm here so um, could I maybe borrow some of your notes you took today?"" I mean, you're the smartest one here, and if there's anyone I can trust to take good notes, it's you-"" Cara was cut short by a cold glare.
""Save it, I need to get out of here.""
Blinking twice, Cara barely managed to keep her façade from slipping as she continued, even tilting her head to the side to feign obliviousness. ""Pardon? I- I was just hoping you could help me out-""
Once again, Cara was cut short by Janet, who finally slipped her bag over her shoulder, ""ask someone else. I have... somewhere I need to be."" One more look out the window, Janet brushed past the shorter girl and out towards the exit, leaving Cara's fake smile to immediately wash from her face. Instead of feeling angry, like she would've been after being brushed off like she was nothing, Cara couldn't help but grin to herself. After peering out of the window to find nothing but trees, Cara pulled out her phone, selecting the contact she needed before typing.

Sloane, mind if I drop by sometime soon? Need your help with something. </s>"
491,"<s>[INST] Isaac Lynch

Father Lynch emerged from the front doors of the church. He had just finished his letter and was now heading to the mailbox to post it. He enjoyed the morning hours when there still shone some sunlight on this otherwise so grim town. It was not only the eternal shadow of the mountain that they lived under. It was also in the atmosphere. Though many people where christians, it was as if the heathen spirits that dwelled here eons ago, never really left this place. As servant of the lord, he could sense these things. But with the awareness also came the responsibility. It was his holy duty, to rid this town once and for all, from the shadow that was cast, by evil spirits of the past. With the light of the lord, he would clense this place and it's people.
The last mayor had considered his ideas lunatic. But now with the new mayor, he was going to take it on all differently. He had his plans all worked out. And once he would get the chance to talk to her, he would make her see the things for how they were. With her help [/INST] , he would finally be able to fullfill this dream that he had since he was appointed this church in this town, ten years ago.
For he, Father Lynch, was the shepherd of these people -these sheep, that needed guidance. And protection from the ever pressing presence of the wolf. The Darkness that these ungratefull inhabitants were so unaware of.
There was actual lore on this. Ancient tales, that many discarded as child's stories. some parts of the town were older than most people knew. The Library had very old books. The church was build on ruins of a mysterious building that he still didn't know the purpose for. And the mines had been abandoned for longer than anyone's grandparents remembered.
And HE knew. HE was going to figure out why. HE saw the hidden patterns in what people might call bad luck. HE was going to end this. HE, not the Lord.. but Father Lynch.
But ofcourse he was going to need some help.
When the letter slipped into the mailbox, father lynch snapped out of his daydream, before starting his way back to the church. </s>"
492,"<s>[INST] Sloane Shields

Location: leaving Ink Shields...or not
Interacting with Cara

Sloane drew in a long, deep breath. The cold air sent a chill up her spine, but filled her with a new, fresh energy as she looked at the town. Beside her shop and home was the cafe, which she side glanced. It wasn't uncommon for the pack to hang around there. She stood still for a moment before turning in the opposite direction. However, she didn't make it very far until she felt her phone buzz in her pocket. As her heels clicked against the pavement, she pulled the device to check the message: Cara wanted to [/INST] meet up. The woman dropped her arms and stared up the sky, shaking her head a bit. Why? she thought simply, musing over her options.
Eventually, she raised her phone again:
sure thing. ill be home all day.
Hesitantly, Sloane tapped the send button. She was a lot of things and loyal was one of them. Unfortunately. The woman drew in one last fresh breath of air and turned to return to Ink Shields...as she turned, her eyes followed the local Father as he crossed the street. She didn't think much of it, however, and she unlocked the door to her home to step back inside and get comfortable. </s>"
